,Clonotypes,Associated_Clones,class
17,55585,101,1
11,79294,148,1
33,201256,6,0
9,75096,132,1
5,33721,59,1
25,116449,2,0
16,135254,298,1
32,229119,7,0
13,136797,167,1
18,55940,109,1
10,35313,76,1
1,52194,114,1
42,125594,1,0
27,236773,14,0
19,50292,109,1
7,93685,120,1
15,46611,77,1
34,111348,0,0
26,41143,0,0
6,24327,64,1
43,158796,1,0
35,128584,4,0
22,160177,1,0
14,24028,32,1
23,249282,6,0
4,139101,174,1
0,31256,65,1
8,101419,229,1
20,86944,138,1
28,206117,4,0
41,162655,1,0
12,101439,210,1
38,124127,2,0
31,125997,2,0
21,134972,255,1
39,106237,1,0
29,156903,1,0
37,183187,4,0
2,77800,124,1
3,21436,45,1
24,180677,1,0
30,175909,6,0
40,146128,5,0
36,112094,1,0
