,Clonotypes,Associated_Clones,class
0,31256,10,1
30,175909,0,0
18,55940,12,1
38,124127,0,0
17,55585,13,1
22,160177,0,0
37,183187,0,0
16,135254,30,1
32,229119,0,0
14,24028,3,1
4,139101,19,1
6,24327,8,1
20,86944,15,1
19,50292,14,1
28,206117,1,0
10,35313,11,1
7,93685,10,1
34,111348,0,0
43,158796,0,0
23,249282,0,0
40,146128,0,0
15,46611,5,1
29,156903,0,0
21,134972,30,1
2,77800,17,1
8,101419,26,1
31,125997,0,0
25,116449,0,0
5,33721,7,1
39,106237,0,0
3,21436,8,1
13,136797,17,1
35,128584,0,0
42,125594,0,0
26,41143,0,0
9,75096,13,1
36,112094,0,0
11,79294,16,1
33,201256,0,0
12,101439,21,1
24,180677,0,0
1,52194,12,1
41,162655,0,0
27,236773,0,0
