,Clonotypes,Associated_Clones,class
42,125594,0,0
43,158796,0,0
36,112094,0,0
27,236773,0,0
0,31256,4,1
41,162655,0,0
32,229119,0,0
18,55940,5,1
38,124127,0,0
2,77800,6,1
33,201256,0,0
40,146128,0,0
24,180677,0,0
15,46611,3,1
3,21436,4,1
13,136797,5,1
10,35313,2,1
4,139101,5,1
25,116449,0,0
26,41143,0,0
20,86944,6,1
17,55585,5,1
29,156903,0,0
19,50292,5,1
8,101419,9,1
34,111348,0,0
16,135254,9,1
37,183187,0,0
28,206117,0,0
30,175909,0,0
9,75096,4,1
5,33721,4,1
1,52194,6,1
35,128584,0,0
12,101439,9,1
14,24028,2,1
11,79294,6,1
22,160177,0,0
31,125997,0,0
7,93685,6,1
39,106237,0,0
21,134972,10,1
23,249282,0,0
6,24327,3,1
